"track","duration_min","duration_category"
"WWE: Broken Dreams (Drew McIntyre) [feat. Shaman's Harvest]",4,"Medium (3-5 min)"
"Sweet Child O' Mine",5,"Long (> 5 min)"
"November Rain",8,"Long (> 5 min)"
"Welcome To The Jungle",4,"Medium (3-5 min)"
"Knockin' On Heaven's Door",5,"Long (> 5 min)"
"Don't Cry (Original)",4,"Medium (3-5 min)"
"Paradise City",6,"Long (> 5 min)"
"Live And Let Die",3,"Medium (3-5 min)"
"You Could Be Mine",5,"Long (> 5 min)"
"Patience",5,"Long (> 5 min)"
"Civil War",7,"Long (> 5 min)"
"Gato de Noche",3,"Medium (3-5 min)"
"La Llevo Al Cielo (Ft. Ñengo Flow)",4,"Medium (3-5 min)"
"Safaera",4,"Medium (3-5 min)"
"Delincuente",3,"Medium (3-5 min)"
"Que Malo",2,"Short (< 3 min)"
"Sufro",4,"Medium (3-5 min)"
"Cuando Me Dirá",2,"Short (< 3 min)"
"Profecía",3,"Medium (3-5 min)"
"Cochinae (Remix)",5,"Long (> 5 min)"
"Hoy (feat. Bad Bunny)",3,"Medium (3-5 min)"
"Trance (with Travis Scott & Young Thug)",3,"Medium (3-5 min)"
"Metro Spider (with Young Thug)",2,"Short (< 3 min)"
"Way 2 Sexy (with Future & Young Thug)",4,"Medium (3-5 min)"
"Go Crazy",2,"Short (< 3 min)"
"Escape (feat. Hayla)",4,"Medium (3-5 min)"
"Potion (with Dua Lipa & Young Thug)",3,"Medium (3-5 min)"
"Never Hating (feat. Young Thug)",2,"Short (< 3 min)"
"Solid (feat. Drake)",3,"Medium (3-5 min)"
"Livin It Up (with Post Malone & A$AP Rocky)",3,"Medium (3-5 min)"
"Bad Boy (with Young Thug)",2,"Short (< 3 min)"
"Hot (feat. Gunna)",3,"Medium (3-5 min)"
"Can You Feel My Heart",3,"Medium (3-5 min)"
"Throne",3,"Medium (3-5 min)"
"maybe (feat. Bring Me The Horizon)",2,"Short (< 3 min)"
"sTraNgeRs",3,"Medium (3-5 min)"
"Kingslayer (feat. BABYMETAL)",3,"Medium (3-5 min)"
"Drown",3,"Medium (3-5 min)"
"Sleepwalking",3,"Medium (3-5 min)"
"Follow You",3,"Medium (3-5 min)"
"Shadow Moses",4,"Medium (3-5 min)"
"DiE4u",3,"Medium (3-5 min)"
"Low (feat. T-Pain)",3,"Medium (3-5 min)"
"Wild Ones (feat. Sia)",3,"Medium (3-5 min)"
"Whistle",3,"Medium (3-5 min)"
"Club Can't Handle Me (feat. David Guetta)",3,"Medium (3-5 min)"
"Good Feeling",4,"Medium (3-5 min)"
"My House",3,"Medium (3-5 min)"
"Right Round",3,"Medium (3-5 min)"
"GDFR (feat. Sage the Gemini & Lookas)",3,"Medium (3-5 min)"
"I Cry",3,"Medium (3-5 min)"
"Low (LUNAX Remix)",2,"Short (< 3 min)"
"Cookies N' Cream (feat. ANNA & Sfera Ebbasta)",3,"Medium (3-5 min)"
"Need U 2Nite (feat. Massimo Pericolo)",2,"Short (< 3 min)"
"Tuta Maphia (feat. Paky)",3,"Medium (3-5 min)"
"Free (feat. Marracash & Rkomi)",3,"Medium (3-5 min)"
"Mollami Pt.2",2,"Short (< 3 min)"
"Prefissi",3,"Medium (3-5 min)"
"NUN SE VER (feat. Guè)",2,"Short (< 3 min)"
"∞ LOVE (feat. Guè)",3,"Medium (3-5 min)"
"Mi Hai Capito O No?",2,"Short (< 3 min)"
"Chiudi Gli Occhi",3,"Medium (3-5 min)"
"Wake Up in the Sky",3,"Medium (3-5 min)"
"King Snipe",3,"Medium (3-5 min)"
"I Get the Bag (feat. Migos)",3,"Medium (3-5 min)"
"Both (feat. Drake)",3,"Medium (3-5 min)"
"Rumors (feat. Lil Durk)",3,"Medium (3-5 min)"
"Letter to Takeoff",3,"Medium (3-5 min)"
"Champions",5,"Long (> 5 min)"
"Us vs. Them (feat Gucci Mane)",3,"Medium (3-5 min)"
"Roster",2,"Short (< 3 min)"
"Curve (feat. The Weeknd)",2,"Short (< 3 min)"
"2 Sugar (feat. Ayra Starr)",3,"Medium (3-5 min)"
"Essence (feat. Tems)",4,"Medium (3-5 min)"
"Wow (feat. Skepta & Naira Marley)",2,"Short (< 3 min)"
"Joro",4,"Medium (3-5 min)"
"Call Me Every Day (feat. Wizkid)",2,"Short (< 3 min)"
"Mood (feat. BNXN)",3,"Medium (3-5 min)"
"System (feat. WizKid)",3,"Medium (3-5 min)"
"Ginger (feat. Burna Boy)",3,"Medium (3-5 min)"
"Essence (feat. Justin Bieber & Tems)",4,"Medium (3-5 min)"
"Energy (Stay Far Away)",3,"Medium (3-5 min)"
"Sálvame",3,"Medium (3-5 min)"
"Sólo Quédate En Silencio",3,"Medium (3-5 min)"
"Este Corazón",3,"Medium (3-5 min)"
"Tras De Mí",3,"Medium (3-5 min)"
"Ser O Parecer",3,"Medium (3-5 min)"
"Aún Hay Algo",3,"Medium (3-5 min)"
"Rebelde",3,"Medium (3-5 min)"
"Enséñame",3,"Medium (3-5 min)"
"Nuestro Amor",3,"Medium (3-5 min)"
"Un Poco De Tu Amor",3,"Medium (3-5 min)"
"Sálvame",3,"Medium (3-5 min)"
"Sólo Quédate En Silencio",3,"Medium (3-5 min)"
"Este Corazón",3,"Medium (3-5 min)"
"Tras De Mí",3,"Medium (3-5 min)"
"Ser O Parecer",3,"Medium (3-5 min)"
"Aún Hay Algo",3,"Medium (3-5 min)"
"Rebelde",3,"Medium (3-5 min)"
"Enséñame",3,"Medium (3-5 min)"
"Nuestro Amor",3,"Medium (3-5 min)"
"Un Poco De Tu Amor",3,"Medium (3-5 min)"
"Blaues Licht",2,"Short (< 3 min)"
"Ohne mein Team",3,"Medium (3-5 min)"
"Mood - RAF Camora Remix",2,"Short (< 3 min)"
"Diamant",2,"Short (< 3 min)"
"Coco 2.0",1,"Short (< 3 min)"
"500 PS",3,"Medium (3-5 min)"
"2CB",2,"Short (< 3 min)"
"Palmen aus Plastik",3,"Medium (3-5 min)"
"Taxi",2,"Short (< 3 min)"
"Eine Idee",2,"Short (< 3 min)"
"Apna Bana Le (From ""Bhediya"")",4,"Medium (3-5 min)"
"Saibo",3,"Medium (3-5 min)"
"Barbaadiyan",3,"Medium (3-5 min)"
"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",2,"Short (< 3 min)"
"Jug Jug Jeeve",3,"Medium (3-5 min)"
"Bijli",2,"Short (< 3 min)"
"Valentine's Mashup 2019",3,"Medium (3-5 min)"
"Thumkeshwari",2,"Short (< 3 min)"
"Ek Zindagi (From ""Angrezi Medium"")",2,"Short (< 3 min)"
"Nazar Na Lag Jaaye (From ""Stree"")",3,"Medium (3-5 min)"
"La Máquina",4,"Medium (3-5 min)"
"Safaera",4,"Medium (3-5 min)"
"Si Te Pillo",3,"Medium (3-5 min)"
"Bonita",4,"Medium (3-5 min)"
"TORO",4,"Medium (3-5 min)"
"Se Acabó la Cuarentena",2,"Short (< 3 min)"
"Látigo",2,"Short (< 3 min)"
"Hoy Se Chicha",2,"Short (< 3 min)"
"Sólo Por Ti",3,"Medium (3-5 min)"
"Vamo a Busal",4,"Medium (3-5 min)"
"Besharam Rang (From ""Pathaan"")",4,"Medium (3-5 min)"
"Subhanallah",4,"Medium (3-5 min)"
"Khuda Jaane",5,"Long (> 5 min)"
"Ghungroo (From ""War"")",5,"Long (> 5 min)"
"Tere Hawaale (From ""Laal Singh Chaddha"")",5,"Long (> 5 min)"
"Bulleya (From ""Ae Dil Hai Mushkil"")",5,"Long (> 5 min)"
"Roz Roz",3,"Medium (3-5 min)"
"Allah Maaf Kare",3,"Medium (3-5 min)"
"Kalank (Duet)",5,"Long (> 5 min)"
"Love Mashup",4,"Medium (3-5 min)"
"The Middle",3,"Medium (3-5 min)"
"The Bones",3,"Medium (3-5 min)"
"Make You Say",3,"Medium (3-5 min)"
"My Church",3,"Medium (3-5 min)"
"The Bones - with Hozier",3,"Medium (3-5 min)"
"Chasing After You",3,"Medium (3-5 min)"
"I Can't Love You Anymore",2,"Short (< 3 min)"
"I Could Use a Love Song",3,"Medium (3-5 min)"
"Seeing Blind",3,"Medium (3-5 min)"
"Line By Line (feat. Maren Morris)",3,"Medium (3-5 min)"
"sure thing (sped up)",1,"Short (< 3 min)"
"Past Lives",2,"Short (< 3 min)"
"after dark x sweater weather",4,"Medium (3-5 min)"
"Sure Thing (8D sped up)",1,"Short (< 3 min)"
"eyes blue or brown, can't remember",3,"Medium (3-5 min)"
"hola como tale tale vu - 1, 2, 3",2,"Short (< 3 min)"
"Past Lives (8D Audio)",2,"Short (< 3 min)"
"stargirl interlude (sped up)",1,"Short (< 3 min)"
"woo x I was never there (sped up)",2,"Short (< 3 min)"
"goverment hooker (sped up) - tiktok version",2,"Short (< 3 min)"
"sure thing (sped up)",1,"Short (< 3 min)"
"Past Lives",2,"Short (< 3 min)"
"after dark x sweater weather",4,"Medium (3-5 min)"
"Sure Thing (8D sped up)",1,"Short (< 3 min)"
"hola como tale tale vu - 1, 2, 3",2,"Short (< 3 min)"
"Past Lives (8D Audio)",2,"Short (< 3 min)"
"stargirl interlude (sped up)",1,"Short (< 3 min)"
"woo x I was never there (sped up)",2,"Short (< 3 min)"
"goverment hooker (sped up) - tiktok version",2,"Short (< 3 min)"
"sweater weather x another love",3,"Medium (3-5 min)"
"Bottoms Up (feat. Nicki Minaj)",4,"Medium (3-5 min)"
"Slow Motion",3,"Medium (3-5 min)"
"Can't Help but Wait",3,"Medium (3-5 min)"
"Na Na",3,"Medium (3-5 min)"
"Say Aah (feat. Fabolous)",3,"Medium (3-5 min)"
"Touchin, Lovin (feat. Nicki Minaj)",3,"Medium (3-5 min)"
"Neighbors Know My Name",3,"Medium (3-5 min)"
"Nobody Else but You",3,"Medium (3-5 min)"
"Love Faces",4,"Medium (3-5 min)"
"Chi Chi (feat. Chris Brown)",2,"Short (< 3 min)"
"Ciao Baby",3,"Medium (3-5 min)"
"Senza Di Me (feat. Venerus & Franco126)",3,"Medium (3-5 min)"
"Toradol",2,"Short (< 3 min)"
"Lo Sai Che Ci Penso",3,"Medium (3-5 min)"
"Davide (feat. Coez)",3,"Medium (3-5 min)"
"Forte",3,"Medium (3-5 min)"
"Mondo Di Fango",1,"Short (< 3 min)"
"Mama (feat. Nitro)",3,"Medium (3-5 min)"
"Silenzio",2,"Short (< 3 min)"
"Pochette (feat. Noyz Narcos)",3,"Medium (3-5 min)"
"You're Beautiful",3,"Medium (3-5 min)"
"1973",4,"Medium (3-5 min)"
"Goodbye My Lover",4,"Medium (3-5 min)"
"Bonfire Heart",3,"Medium (3-5 min)"
"OK",3,"Medium (3-5 min)"
"Same Mistake",4,"Medium (3-5 min)"
"Stay the Night",3,"Medium (3-5 min)"
"Carry You Home",3,"Medium (3-5 min)"
"The Truth",3,"Medium (3-5 min)"
"Monsters",4,"Medium (3-5 min)"
"Don't Cha",4,"Medium (3-5 min)"
"When I Grow Up",4,"Medium (3-5 min)"
"Stickwitu",3,"Medium (3-5 min)"
"Buttons",3,"Medium (3-5 min)"
"Jai Ho! (You Are My Destiny)",3,"Medium (3-5 min)"
"I Hate This Part",3,"Medium (3-5 min)"
"React",3,"Medium (3-5 min)"
"Buttons - Showmusik TikTok Remix",2,"Short (< 3 min)"
"Hush Hush; Hush Hush - Main",4,"Medium (3-5 min)"
"Beep",3,"Medium (3-5 min)"
"Rubicon Drill",3,"Medium (3-5 min)"
"Wytb",3,"Medium (3-5 min)"
"Gaddi",3,"Medium (3-5 min)"
"Defaulter",3,"Medium (3-5 min)"
"Panjeban",3,"Medium (3-5 min)"
"Chal Payi Chal Payi",3,"Medium (3-5 min)"
"Motti Motti Akh",4,"Medium (3-5 min)"
"Taur Tappa",3,"Medium (3-5 min)"
"Pasand Bangi",3,"Medium (3-5 min)"
"Combination",2,"Short (< 3 min)"
"Atrévete-Te-Te",3,"Medium (3-5 min)"
"Muerte En Hawaii",3,"Medium (3-5 min)"
"La Vuelta Al Mundo",3,"Medium (3-5 min)"
"Ojos Color Sol (feat. Silvio Rodríguez)",3,"Medium (3-5 min)"
"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",5,"Long (> 5 min)"
"No Hay Nadie Como Tú (feat. Café Tacuba)",4,"Medium (3-5 min)"
"El Aguante",4,"Medium (3-5 min)"
"Baile De Los Pobres",3,"Medium (3-5 min)"
"Un Beso de Desayuno",4,"Medium (3-5 min)"
"Adentro",4,"Medium (3-5 min)"
"Main Title - From The ""Game Of Thrones"" Soundtrack",1,"Short (< 3 min)"
"Light of the Seven",9,"Long (> 5 min)"
"The Rains of Castamere",3,"Medium (3-5 min)"
"A Lannister Always Pays His Debts",2,"Short (< 3 min)"
"The Night King",8,"Long (> 5 min)"
"Goodbye Brother - From The ""Game Of Thrones"" Soundtrack",3,"Medium (3-5 min)"
"Main Title (From Game of Thrones: Season 6)",1,"Short (< 3 min)"
"The Prince That Was Promised",4,"Medium (3-5 min)"
"The Power of Prophecy",2,"Short (< 3 min)"
"A Song of Ice and Fire",2,"Short (< 3 min)"
"Need You Now",3,"Medium (3-5 min)"
"American Honey",3,"Medium (3-5 min)"
"A Holly Jolly Christmas",2,"Short (< 3 min)"
"What If I Never Get Over You",3,"Medium (3-5 min)"
"Just A Kiss",3,"Medium (3-5 min)"
"Bartender",3,"Medium (3-5 min)"
"Ocean",3,"Medium (3-5 min)"
"Something’s Coming",2,"Short (< 3 min)"
"I Run To You",4,"Medium (3-5 min)"
"Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack",3,"Medium (3-5 min)"
"Electricity",2,"Short (< 3 min)"
"Dada (feat. Davido) [Remix]",2,"Short (< 3 min)"
"Know Your Worth (feat. Davido & Tems)",3,"Medium (3-5 min)"
"Vroom - The FaNaTiX, Idris Elba, Lil Tjay, Davido, Koffee, Moelogo| PS5, PS4 - from GRAN TURISMO 7",3,"Medium (3-5 min)"
"Fall",4,"Medium (3-5 min)"
"High",3,"Medium (3-5 min)"
"WATAWI (feat. Davido, Focalistic & Abidoza)",5,"Long (> 5 min)"
"Jowo",2,"Short (< 3 min)"
"Stand Strong (feat. Sunday Service Choir)",3,"Medium (3-5 min)"
"Your Betrayal",4,"Medium (3-5 min)"
"Tears Don't Fall",5,"Long (> 5 min)"
"You Want a Battle? (Here's a War)",4,"Medium (3-5 min)"
"Hand Of Blood",3,"Medium (3-5 min)"
"Letting You Go",3,"Medium (3-5 min)"
"Radioactive",3,"Medium (3-5 min)"
"All These Things I Hate (Revolve Around Me)",3,"Medium (3-5 min)"
"Over It",3,"Medium (3-5 min)"
"The Last Fight",4,"Medium (3-5 min)"
"Waking the Demon",4,"Medium (3-5 min)"
"Por Fin Te Encontré",4,"Medium (3-5 min)"
"Bum Bum Tam Tam",3,"Medium (3-5 min)"
"Verano Azul",3,"Medium (3-5 min)"
"No Sigue Modas Aka Ella No Sigue Modas",3,"Medium (3-5 min)"
"He Llorado (Como Un Niño)",3,"Medium (3-5 min)"
"Bailando por Ahi",3,"Medium (3-5 min)"
"Si No Te Quisiera",3,"Medium (3-5 min)"
"Déjate Llevar",3,"Medium (3-5 min)"
"Mal De Amores",2,"Short (< 3 min)"
"Usted",3,"Medium (3-5 min)"
"Knock You Down",5,"Long (> 5 min)"
"Pretty Girl Rock",4,"Medium (3-5 min)"
"I Like - Jost & Grubert Radio Mix",3,"Medium (3-5 min)"
"Energy",3,"Medium (3-5 min)"
"Turnin Me On - Original Clean",4,"Medium (3-5 min)"
"Slow Dance",4,"Medium (3-5 min)"
"Lose Control / Let Me Down",4,"Medium (3-5 min)"
"One Night Stand",3,"Medium (3-5 min)"
"Nominate",4,"Medium (3-5 min)"
"Buyou",4,"Medium (3-5 min)"
"La Pregunta",4,"Medium (3-5 min)"
"Sexo, Sudor y Calor",4,"Medium (3-5 min)"
"Regalame Una Noche",4,"Medium (3-5 min)"
"Junto Al Amanecer",4,"Medium (3-5 min)"
"Yo Me Monto",2,"Short (< 3 min)"
"Letania",3,"Medium (3-5 min)"
"Deja",4,"Medium (3-5 min)"
"Eso en 4 No Se Ve",4,"Medium (3-5 min)"
"Comprometida",3,"Medium (3-5 min)"
"La Suite (feat. Kevin Roldan) - Remix",4,"Medium (3-5 min)"
"Neue Freunde - Intro",0,"Short (< 3 min)"
"Drachenzähmen leicht gemacht 3 - Intro",1,"Short (< 3 min)"
"Drachenzähmen leicht gemacht - Teil 1",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht 3 - Teil 1",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht 3 - Teil 2",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht - Teil 2",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht 3 - Teil 3",3,"Medium (3-5 min)"
"Hüter des Lichts - Teil 1",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht 3 - Teil 4",3,"Medium (3-5 min)"
"Drachenzähmen leicht gemacht - Teil 3",3,"Medium (3-5 min)"
"Dekha Hazaro Dafaa",3,"Medium (3-5 min)"
"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",4,"Medium (3-5 min)"
"Chahun Main Ya Naa (From ""Aashiqui 2"")",5,"Long (> 5 min)"
"Valentine's Mashup 2019",3,"Medium (3-5 min)"
"Sanam Teri Kasam (From ""Sanam Teri Kasam"")",5,"Long (> 5 min)"
"O Khuda",5,"Long (> 5 min)"
"Ik Mulaqaat",4,"Medium (3-5 min)"
"Teri Meri Kahaani",5,"Long (> 5 min)"
"Meri Aashiqui (From ""Aashiqui 2"")",4,"Medium (3-5 min)"
"Love Mashup",4,"Medium (3-5 min)"
"Paper Planes",3,"Medium (3-5 min)"
"Bad Girls",3,"Medium (3-5 min)"
"FRANCHISE (feat. Young Thug & M.I.A.)",3,"Medium (3-5 min)"
"Come Around",3,"Medium (3-5 min)"
"Paper Planes - Diplo Street Remix",3,"Medium (3-5 min)"
"Borders",4,"Medium (3-5 min)"
"BORN FREE",4,"Medium (3-5 min)"
"Zoo Girl",2,"Short (< 3 min)"
"Y.A.L.A.",4,"Medium (3-5 min)"
"Jimmy",3,"Medium (3-5 min)"
"Eye of the Tiger",4,"Medium (3-5 min)"
"Burning Heart - From ""Rocky IV"" Soundtrack",3,"Medium (3-5 min)"
"Ever Since the World Began",3,"Medium (3-5 min)"
"Eye of the Tiger - 2006 Master",4,"Medium (3-5 min)"
"The Search Is Over",4,"Medium (3-5 min)"
"I Can't Hold Back",3,"Medium (3-5 min)"
"High on You",4,"Medium (3-5 min)"
"The Moment Of The Truth",3,"Medium (3-5 min)"
"Man Against the World",3,"Medium (3-5 min)"
"Is This Love",3,"Medium (3-5 min)"
"Loud Pipes",3,"Medium (3-5 min)"
"ANTIGRAVITY",1,"Short (< 3 min)"
"Wildcat",4,"Medium (3-5 min)"
"Cream On Chrome - Single Edit",3,"Medium (3-5 min)"
"Nostrand",3,"Medium (3-5 min)"
"Seventeen Years",4,"Medium (3-5 min)"
"Cream On Chrome",4,"Medium (3-5 min)"
"Lex",4,"Medium (3-5 min)"
"HALOHEAD",3,"Medium (3-5 min)"
"Cherry",5,"Long (> 5 min)"
"Love Song",4,"Medium (3-5 min)"
"Café",3,"Medium (3-5 min)"
"Una Vaina Loca (R3HAB Remix)",2,"Short (< 3 min)"
"l e t . g o . m y . h a n d (with Bas & 6LACK)",4,"Medium (3-5 min)"
"Tribe (with J. Cole)",3,"Medium (3-5 min)"
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",3,"Medium (3-5 min)"
"[The Jackie] (with J. Cole & Lil Tjay)",3,"Medium (3-5 min)"
"h u n g e r . o n . h i l l s i d e (with Bas)",3,"Medium (3-5 min)"
"1 0 0 . m i l ‘ (with Bas)",2,"Short (< 3 min)"
"Night Job",3,"Medium (3-5 min)"
"Purge",3,"Medium (3-5 min)"
"Run It Up",2,"Short (< 3 min)"
"Romeo",2,"Short (< 3 min)"
"Bitter Sweet Symphony",5,"Long (> 5 min)"
"Lucky Man",4,"Medium (3-5 min)"
"The Drugs Don't Work",5,"Long (> 5 min)"
"Sonnet",4,"Medium (3-5 min)"
"Love is Noise",5,"Long (> 5 min)"
"On Your Own - Remastered 2016",3,"Medium (3-5 min)"
"History - Remastered 2016",5,"Long (> 5 min)"
"Slide Away - 2016 Remastered",4,"Medium (3-5 min)"
"Catching The Butterfly",6,"Long (> 5 min)"
"Space And Time",5,"Long (> 5 min)"
"Fade Into You",4,"Medium (3-5 min)"
"Halah",3,"Medium (3-5 min)"
"Look On Down From The Bridge",4,"Medium (3-5 min)"
"Blue Light",5,"Long (> 5 min)"
"Into Dust",5,"Long (> 5 min)"
"Rose Blood",4,"Medium (3-5 min)"
"Be My Angel",3,"Medium (3-5 min)"
"Cry, Cry",3,"Medium (3-5 min)"
"Flowers In December",4,"Medium (3-5 min)"
"Give You My Lovin",3,"Medium (3-5 min)"
"Everytime We Touch",3,"Medium (3-5 min)"
"Everytime We Touch - Hardwell & Maurice West Remix",3,"Medium (3-5 min)"
"Evacuate The Dancefloor - Radio Edit",3,"Medium (3-5 min)"
"Everytime We Touch - Sound Rush Remix",3,"Medium (3-5 min)"
"Bad Boy - KYANU Remix",2,"Short (< 3 min)"
"Everytime We Touch - Nightcore & KYANU Edit",2,"Short (< 3 min)"
"Never Let Me Go",3,"Medium (3-5 min)"
"Bad Boy",3,"Medium (3-5 min)"
"Everytime We Touch - Fallen Superhero Remix",3,"Medium (3-5 min)"
"Everytime We Touch - Yanou's Candlelight Mix",3,"Medium (3-5 min)"
"You",4,"Medium (3-5 min)"
"Swimming Pools",2,"Short (< 3 min)"
"Get It Shawty",3,"Medium (3-5 min)"
"Southside",4,"Medium (3-5 min)"
"Lay It Down",4,"Medium (3-5 min)"
"Tru",4,"Medium (3-5 min)"
"Slow Wine Bass Line (feat. Teddy Riley)",4,"Medium (3-5 min)"
"Dedication To My Ex (Miss That)",3,"Medium (3-5 min)"
"Sex Room",3,"Medium (3-5 min)"
"Caramel",3,"Medium (3-5 min)"
"Coming In Hot",3,"Medium (3-5 min)"
"Jireh (My Provider)",2,"Short (< 3 min)"
"I'll Find You (feat. Tori Kelly)",3,"Medium (3-5 min)"
"WALK",2,"Short (< 3 min)"
"Can’t Tell It All (Remix)",3,"Medium (3-5 min)"
"This is My Time",2,"Short (< 3 min)"
"Take Me Up",3,"Medium (3-5 min)"
"Where We Come From",2,"Short (< 3 min)"
"Spread The Opps",3,"Medium (3-5 min)"
"Still In America",3,"Medium (3-5 min)"
"The Joker",4,"Medium (3-5 min)"
"Rock'n Me",3,"Medium (3-5 min)"
"Take The Money And Run",2,"Short (< 3 min)"
"Abracadabra",5,"Long (> 5 min)"
"Fly Like An Eagle",4,"Medium (3-5 min)"
"Jet Airliner",3,"Medium (3-5 min)"
"The Joker",3,"Medium (3-5 min)"
"Jungle Love",3,"Medium (3-5 min)"
"Jet Airliner",4,"Medium (3-5 min)"
"Swingtown",3,"Medium (3-5 min)"
"Die schönsten Tage",3,"Medium (3-5 min)"
"Wie viele Lieder muss ich noch schreiben?",3,"Medium (3-5 min)"
"Scheiße baut sich nicht von alleine",3,"Medium (3-5 min)"
"Tanz aus der Reihe!",3,"Medium (3-5 min)"
"Ne Leiche",5,"Long (> 5 min)"
"Die Nacht von Freitag auf Montag",3,"Medium (3-5 min)"
"Ich will nur dass du weißt - Radio Edit",3,"Medium (3-5 min)"
"Wenn ich groß bin",3,"Medium (3-5 min)"
"Ich will mein Problem zurück",4,"Medium (3-5 min)"
"Wer ficken will muss freundlich sein",3,"Medium (3-5 min)"
"Pentagrama",3,"Medium (3-5 min)"
"Cambiaste Mi Corazón",3,"Medium (3-5 min)"
"A Pesar de Mí (feat. Un Corazón, Abby Valdez, Indiomar)",5,"Long (> 5 min)"
"Cuando Yo Te Conocí feat. AZ Family",3,"Medium (3-5 min)"
"Sin Ti",4,"Medium (3-5 min)"
"Bye Bye (feat. Oveja Cósmica)",4,"Medium (3-5 min)"
"Te Busco",3,"Medium (3-5 min)"
"¿Pa' Qué Preguntan? (Remix)",3,"Medium (3-5 min)"
"Pentagrama (Remix) feat. Alex Campos",3,"Medium (3-5 min)"
"UNO (feat. Alex Zurdo, Funky, Redimi2, Christian Ponce, Almighty, Ander Bock)",7,"Long (> 5 min)"
"Dame Tus Ojos (feat. Jesús Adrián Romero)",3,"Medium (3-5 min)"
"Supe Que Me Amabas",4,"Medium (3-5 min)"
"Abres Camino (Way Maker)",4,"Medium (3-5 min)"
"Tú Estás Aquí (feat. Jesús Adrián Romero)",5,"Long (> 5 min)"
"Un Viaje Largo",3,"Medium (3-5 min)"
"El Mismo Cielo",4,"Medium (3-5 min)"
"Abba Padre (En Vivo)",4,"Medium (3-5 min)"
"Pensaba En Ti",3,"Medium (3-5 min)"
"Si Sabes Donde Hallarlo (feat. Marcos Vidal)",3,"Medium (3-5 min)"
"Más Que Un Anhelo",3,"Medium (3-5 min)"
"Unwritten",4,"Medium (3-5 min)"
"Pocketful of Sunshine",3,"Medium (3-5 min)"
"These Words",NULL,"Long (> 5 min)"
"Shake up Christmas 2011 (Official Coca-Cola Christmas Song)",3,"Medium (3-5 min)"
"Love Like This (feat. Sean Kingston)",3,"Medium (3-5 min)"
"Love Song to the Earth",3,"Medium (3-5 min)"
"Soulmate",3,"Medium (3-5 min)"
"Wild Horses",4,"Medium (3-5 min)"
"Who I Am - (From “The Pirate Fairy”)",2,"Short (< 3 min)"
"Single",3,"Medium (3-5 min)"
"Fuoco e benzina",3,"Medium (3-5 min)"
"Mon Fre - feat. Emis Killa",3,"Medium (3-5 min)"
"Parole di ghiaccio",3,"Medium (3-5 min)"
"Bottiglie rotte (feat. Gemitaiz)",2,"Short (< 3 min)"
"L'ultima volta - feat. Massimo Pericolo",3,"Medium (3-5 min)"
"No Cap (feat. Geolier)",3,"Medium (3-5 min)"
"Quella foto di noi due",3,"Medium (3-5 min)"
"Lucifero",2,"Short (< 3 min)"
"Maracanã",3,"Medium (3-5 min)"
"PAROLA - feat. Lazza, Emis Killa",3,"Medium (3-5 min)"
"Nothing's Gonna Stop Us Now",4,"Medium (3-5 min)"
"We Built This City",4,"Medium (3-5 min)"
"Sara",4,"Medium (3-5 min)"
"Don't Stop Believin'",4,"Medium (3-5 min)"
"Sara",4,"Medium (3-5 min)"
"It's Not Enough",4,"Medium (3-5 min)"
"Set the Night to Music",4,"Medium (3-5 min)"
"It's Not Over ('Til It's Over)",4,"Medium (3-5 min)"
"We Built This City (Re-Recorded) [Remastered]",6,"Long (> 5 min)"
"The Burn",4,"Medium (3-5 min)"
"American Boy",4,"Medium (3-5 min)"
"American Boy - Lost Frequencies Remix",3,"Medium (3-5 min)"
"Oh No",2,"Short (< 3 min)"
"Freak",3,"Medium (3-5 min)"
"Come Over - Radio Version",4,"Medium (3-5 min)"
"Come Over",3,"Medium (3-5 min)"
"Lights Out",3,"Medium (3-5 min)"
"Set Me On Fire",3,"Medium (3-5 min)"
"Steven Universe Future (Opening Theme) / Title Card",0,"Short (< 3 min)"
"One Love (feat. Estelle) - Chuckie and Fatman Scoop Remix",8,"Long (> 5 min)"
"The Way I Are - Radio Edit",3,"Medium (3-5 min)"
"Future Millionaires",3,"Medium (3-5 min)"
"R.E.A.L. - prod. Con Rizzle",3,"Medium (3-5 min)"
"Talk to Em",3,"Medium (3-5 min)"
"Never Falling Off - prod. DJ Concept",4,"Medium (3-5 min)"
"Reminder",4,"Medium (3-5 min)"
"Reset",3,"Medium (3-5 min)"
"No BS",3,"Medium (3-5 min)"
"Castaways",2,"Short (< 3 min)"
"Forever Love",3,"Medium (3-5 min)"
"Como Duele Equivocarse",3,"Medium (3-5 min)"
