"track","duration_min","duration_category"
"Little Lies - 2017 Remaster",3,"Medium (3-5 min)"
"Rhiannon",4,"Medium (3-5 min)"
"Gypsy",4,"Medium (3-5 min)"
"Never Going Back Again - 2004 Remaster",2,"Short (< 3 min)"
"Dancing Queen",3,"Medium (3-5 min)"
"Gimme! Gimme! Gimme! (A Man After Midnight)",4,"Medium (3-5 min)"
"Mamma Mia",3,"Medium (3-5 min)"
"Angeleyes",4,"Medium (3-5 min)"
"The Winner Takes It All",4,"Medium (3-5 min)"
"Take A Chance On Me",4,"Medium (3-5 min)"
"Lay All Your Love On Me",4,"Medium (3-5 min)"
"Waterloo",2,"Short (< 3 min)"
"Chiquitita",5,"Long (> 5 min)"
"Super Trouper",4,"Medium (3-5 min)"
"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",2,"Short (< 3 min)"
"Have Yourself A Merry Little Christmas - Remastered 1999",3,"Medium (3-5 min)"
"Jingle Bells - Remastered 1999",2,"Short (< 3 min)"
"My Way",4,"Medium (3-5 min)"
"Somethin' Stupid",2,"Short (< 3 min)"
"Santa Claus Is Comin' to Town",2,"Short (< 3 min)"
"Fly Me To The Moon (In Other Words)",2,"Short (< 3 min)"
"Strangers In The Night",2,"Short (< 3 min)"
"That's Life",3,"Medium (3-5 min)"
"Silent Night - 1999 Remaster",2,"Short (< 3 min)"
"10:35",2,"Short (< 3 min)"
"The Motto",2,"Short (< 3 min)"
"Don't Be Shy",2,"Short (< 3 min)"
"Lay Low",2,"Short (< 3 min)"
"The Business",2,"Short (< 3 min)"
"Hot In It",2,"Short (< 3 min)"
"Pump It Louder",2,"Short (< 3 min)"
"Another Love - Tiësto Remix",3,"Medium (3-5 min)"
"Toda Una Vida",2,"Short (< 3 min)"
"Baila Conmigo",2,"Short (< 3 min)"
"Jackie Chan",3,"Medium (3-5 min)"
"Cold Heart - PNAU Remix",3,"Medium (3-5 min)"
"I'm Still Standing",3,"Medium (3-5 min)"
"Hold Me Closer",3,"Medium (3-5 min)"
"Throwing It All Away - 2007 Remaster",3,"Medium (3-5 min)"
"Rocket Man (I Think It's Going To Be A Long, Long Time)",4,"Medium (3-5 min)"
"Your Song",4,"Medium (3-5 min)"
"Don't Go Breaking My Heart",4,"Medium (3-5 min)"
"Tiny Dancer",6,"Long (> 5 min)"
"Step Into Christmas",4,"Medium (3-5 min)"
"Goodbye Yellow Brick Road - Remastered 2014",3,"Medium (3-5 min)"
"Merry Christmas",3,"Medium (3-5 min)"
"Ni**as In Paris",3,"Medium (3-5 min)"
"Empire State Of Mind",4,"Medium (3-5 min)"
"Numb / Encore",3,"Medium (3-5 min)"
"Run This Town",4,"Medium (3-5 min)"
"No Church In The Wild",4,"Medium (3-5 min)"
"4:44",4,"Medium (3-5 min)"
"03' Bonnie & Clyde",3,"Medium (3-5 min)"
"Otis",2,"Short (< 3 min)"
"Gotta Have It",2,"Short (< 3 min)"
"Love All (with JAY-Z)",3,"Medium (3-5 min)"
"Mama - 2007 Remaster",6,"Long (> 5 min)"
"Creepin' (with The Weeknd & 21 Savage)",3,"Medium (3-5 min)"
"Rich Flex",3,"Medium (3-5 min)"
"Jimmy Cooks (feat. 21 Savage)",3,"Medium (3-5 min)"
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]",3,"Medium (3-5 min)"
"Pussy & Millions (feat. Travis Scott)",4,"Medium (3-5 min)"
"Glock In My Lap",3,"Medium (3-5 min)"
