"track","speechiness","url_youtube"
"Pick It Up","0.665","https://www.youtube.com/watch?v=LTZ36G7A3Yk"
"Kapitel 1 - Folge 47: Atomgespenster","0.645",NULL
"2000 Rounds","0.64","https://www.youtube.com/watch?v=zPDcx07PwXo"
"Kapitel 07: auf Weltreise (Folge 150)","0.637","https://www.youtube.com/watch?v=Ipg3gvYW8Hg"
"U Ain't Fuckin With Us (feat. Sinan Caput)","0.634","https://www.youtube.com/watch?v=MXp9sut5jyI"
"THE BEACH","0.631","https://www.youtube.com/watch?v=zv2Yf-QrKUM"
"96 - Tausendundein Tor! - Teil 04","0.629","https://www.youtube.com/watch?v=GCQrR48LprM"
"Kapitel 3.2 - Der Kaiser von Dallas","0.628","https://www.youtube.com/watch?v=-cY8UiwfHLo"
"Corporação Cápsula","0.628","https://www.youtube.com/watch?v=mAH9HHr2EN0"
"Wockesha","0.619","https://www.youtube.com/watch?v=6bN45f9NjlA"
"81 - Geheimnis im Spukhotel - Teil 03","0.619","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"Love... (Her Fault) [feat. Bryson Tiller]","0.609","https://www.youtube.com/watch?v=e7pV6Eo1I0k"
"Da Ponte pra Cá","0.608","https://www.youtube.com/watch?v=ZOjLdHS98K8"
"Active","0.604","https://www.youtube.com/watch?v=eN9k6Dz1SX0"
"96 - Tausendundein Tor! - Teil 10","0.6","https://www.youtube.com/watch?v=GCQrR48LprM"
