"track","tempo","tempo_category"
"Timber (feat. Ke$ha)","129.992","Cepat"
"Time of Our Lives","124.022","Cepat"
"Feel This Moment (feat. Christina Aguilera)","135.956","Cepat"
"International Love (feat. Chris Brown)","120.05","Cepat"
"Fireball (feat. John Ryan)","122.959","Cepat"
"Nashe Si Chadh Gayi","96.953","Sedang"
"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","125.013","Cepat"
"Hotel Room Service","126.002","Cepat"
"Hey Baby (Drop It to the Floor) (feat. T-Pain)","128.024","Cepat"
"HOT","130.027","Cepat"
"No Lie","102.04","Sedang"
"Freak On a Leash","103.293","Sedang"
"Temperature","125.04","Cepat"
"Go Down Deh (feat. Shaggy and Sean Paul)","89.999","Lambat"
"Get Busy","100.216","Sedang"
"She Doesn't Mind","120.015","Cepat"
"Coming Undone","75.052","Lambat"
"Falling Away from Me","104.102","Sedang"
"Give It Up to Me","95.991","Sedang"
"(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version","95.824","Sedang"
"I'm Still in Love with You (feat. Sasha)","87.002","Lambat"
"UP","98.029","Sedang"
"Contra La Pared","94.052","Sedang"
"Yendo a la Casa de Damián","105.984","Sedang"
"Can't Help Falling in Love","100.307","Sedang"
"Blue Christmas","94.518","Sedang"
"Here Comes Santa Claus (Right Down Santa Claus Lane)","79.576","Lambat"
"Suspicious Minds","116.557","Sedang"
"Burning Love","143.549","Cepat"
"Always On My Mind","181.183","Cepat"
"In Too Deep - 2007 Remaster","103.538","Sedang"
"If I Can Dream","93.914","Sedang"
"Jailhouse Rock","166.885","Cepat"
"In the Ghetto","88.916","Lambat"
"(You're The) Devil in Disguise","122.903","Cepat"
"Hit 'Em Up - Single Version","95.19","Sedang"
"Ambitionz Az A Ridah","87.277","Lambat"
"California Love - Original Version","91.519","Sedang"
"All Eyez On Me (ft. Big Syke)","93.279","Sedang"
"Do For Love","95","Sedang"
"Changes","111.113","Sedang"
"Jesus He Knows Me - 2007 Remaster","95","Sedang"
"Dear Mama","84.115","Lambat"
"Keep Ya Head Up","172.329","Cepat"
"2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg)","99.258","Sedang"
"Can't C Me","95.44","Sedang"
"Bad Decisions (with BTS & Snoop Dogg)","120.048","Cepat"
"Young, Wild & Free (feat. Bruno Mars)","94.505","Sedang"
"Drop It Like It's Hot","91.979","Sedang"
"That's My N**** (with Meek Mill, YG & Snoop Dogg)","104.991","Sedang"
"From The D 2 The LBC (with Snoop Dogg)","164.038","Cepat"
"Sweat - Remix","130.02","Cepat"
"Beautiful","101.007","Sedang"
"I Wanna Fuck You","99.972","Sedang"
"Qué Maldición","177.951","Cepat"
"Riders On The Storm - Fredwreck Remix","101.984","Sedang"
"Love Me","124.906","Cepat"
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","169.021","Cepat"
"Mirror","74.267","Lambat"
"Forever","104.02","Sedang"
"6 Foot 7 Foot","79.119","Lambat"
"Lollipop","148.074","Cepat"
"Wish You Were Here (feat. Khalid)","105.957","Sedang"
"A Milli","151.589","Cepat"
"Scared of the Dark (feat. XXXTENTACION)","79.365","Lambat"
"ay! (feat. Lil Wayne)","147.002","Cepat"
"Right Above It","76.052","Lambat"
"Snowman","104.957","Sedang"
"Unstoppable","173.799","Cepat"
"Chandelier","117.089","Sedang"
"Algo mejor que hacer","163.018","Cepat"
"Dusk Till Dawn (feat. Sia) - Radio Edit","180.042","Cepat"
"Cheap Thrills","89.976","Lambat"
"Genius (feat. Sia, Diplo, and Labrinth)","158.657","Cepat"
"Elastic Heart","130.075","Cepat"
"Unstoppable - R3HAB Remix","101.987","Sedang"
"Got the Life","123.277","Cepat"
"Twisted Transistor","110.038","Sedang"
"Del Mar","109.976","Sedang"
"Santa's Coming for Us","92.986","Sedang"
"Dreams - 2004 Remaster","120.151","Cepat"
"The Chain - 2004 Remaster","151.553","Cepat"
"Everywhere - 2017 Remaster","114.965","Sedang"
"Blind - Live at CBGB","95.235","Sedang"
"Hold on My Heart - 2007 Remaster","171.946","Cepat"
"Go Your Own Way - 2004 Remaster","135.448","Cepat"
"Landslide","159.375","Cepat"
"Don't Stop - 2004 Remaster","118.745","Sedang"
"Little Lies - 2017 Remaster","124.825","Cepat"
"Rhiannon","129.012","Cepat"
"Gypsy","130.879","Cepat"
"Never Going Back Again - 2004 Remaster","176.083","Cepat"
"Dancing Queen","100.804","Sedang"
"Gimme! Gimme! Gimme! (A Man After Midnight)","119.528","Sedang"
"Mamma Mia","137.547","Cepat"
"Angeleyes","133.113","Cepat"
"The Winner Takes It All","126.15","Cepat"
"Take A Chance On Me","107.064","Sedang"
"Lay All Your Love On Me","133.481","Cepat"
"Waterloo","147.604","Cepat"
"Chiquitita","84.229","Lambat"
"Super Trouper","118.34","Sedang"
"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","142.169","Cepat"
"Have Yourself A Merry Little Christmas - Remastered 1999","92.183","Sedang"
"Jingle Bells - Remastered 1999","174.609","Cepat"
"My Way","75.454","Lambat"
"Somethin' Stupid","207.356","Cepat"
"Santa Claus Is Comin' to Town","140.281","Cepat"
"Fly Me To The Moon (In Other Words)","119.416","Sedang"
"Strangers In The Night","90.348","Sedang"
"That's Life","112.803","Sedang"
"Silent Night - 1999 Remaster","87.575","Lambat"
"10:35","120.003","Cepat"
"The Motto","117.953","Sedang"
"Don't Be Shy","119.986","Sedang"
"Lay Low","122.06","Cepat"
"The Business","120.031","Cepat"
"Hot In It","123.045","Cepat"
"Pump It Louder","126.017","Cepat"
"Another Love - Tiësto Remix","123.046","Cepat"
"Toda Una Vida","101.615","Sedang"
"Baila Conmigo","127.964","Cepat"
"Jackie Chan","128.008","Cepat"
"Cold Heart - PNAU Remix","116.032","Sedang"
"I'm Still Standing","176.808","Cepat"
"Hold Me Closer","126.027","Cepat"
"Throwing It All Away - 2007 Remaster","83.972","Lambat"
"Rocket Man (I Think It's Going To Be A Long, Long Time)","136.571","Cepat"
"Your Song","128.157","Cepat"
"Don't Go Breaking My Heart","131.459","Cepat"
"Tiny Dancer","145.075","Cepat"
"Step Into Christmas","140.308","Cepat"
"Goodbye Yellow Brick Road - Remastered 2014","121.227","Cepat"
"Merry Christmas","113.99","Sedang"
"Ni**as In Paris","140.022","Cepat"
"Empire State Of Mind","173.585","Cepat"
"Numb / Encore","107.045","Sedang"
"Run This Town","86.844","Lambat"
"No Church In The Wild","92.78","Sedang"
"4:44","177.997","Cepat"
"03' Bonnie & Clyde","89.64","Lambat"
"Otis","94.577","Sedang"
"Gotta Have It","149.762","Cepat"
"Love All (with JAY-Z)","92.131","Sedang"
