"track","artist","instrumentalness","url_youtube"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Claudio Abbado","0.96","https://www.youtube.com/watch?v=PyCHVikkt-E"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Johannes Brahms","0.96","https://www.youtube.com/watch?v=3X9LvC9WkkQ"
"Xtal","Aphex Twin","0.96","https://www.youtube.com/watch?v=2tOutF8B3f8"
"Ocean Binaural","Ocean Sounds","0.96","https://www.youtube.com/watch?v=Cf-7EuQeF_o"
"The Emperor Is Dead","Lisa Gerrard","0.96","https://www.youtube.com/watch?v=ELluhAGDLCw"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","Wiener Philharmoniker","0.96","https://www.youtube.com/watch?v=Nzo3atXtm54"
"Variations on an Original Theme in A-Flat Major, D. 813: VI. Variation V","Franz Schubert","0.959","https://www.youtube.com/watch?v=UHJKqROBoII"
"Hey djan","Traditional","0.959","https://www.youtube.com/watch?v=T1Sn1UdK-5U"
"Lyric Pieces Book I, Op. 12: No. 7 Album Leaf","Edvard Grieg","0.959","https://www.youtube.com/watch?v=sOBPm0AW6jU"
"The Battle of the Pelennor Fields","Howard Shore","0.959","https://www.youtube.com/watch?v=8t9eL-5wMFc"
"On Earth As It Is In Heaven","Ennio Morricone","0.958","https://www.youtube.com/watch?v=3V8aZLTpKXo"
"American Beauty","Thomas Newman","0.958","https://www.youtube.com/watch?v=al21Vtlsg4A"
"Enfantillages pittoresques: II. Berceuse","Erik Satie","0.958","https://www.youtube.com/watch?v=ZVYNFg1G0x8"
"Adieux","M83","0.957","https://www.youtube.com/watch?v=Ifpj8xnidVg"
"Letting Go","Bear McCreary","0.957","https://www.youtube.com/watch?v=P9gec3gi7vg"
"The Tree","Ludovico Einaudi","0.957","https://www.youtube.com/watch?v=_xfJctxJ1N8"
"2 Arabesques, L. 66: No. 1 in E Major","Claude Debussy","0.955","https://www.youtube.com/watch?v=qNoq240t54I"
"The Imperial March (Darth Vader's Theme)","London Symphony Orchestra","0.955","https://www.youtube.com/watch?v=YMvcCfs8mf8"
"The Imperial March (Darth Vader's Theme)","John Williams","0.955","https://www.youtube.com/watch?v=QYMETt578MM"
"A Son's Path","Bear McCreary","0.955","https://www.youtube.com/watch?v=7peuZ4vaPdw"
"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)","Franz Liszt","0.955","https://www.youtube.com/watch?v=D6qnli1ZbZQ"
"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)","Franz Schubert","0.955","https://www.youtube.com/watch?v=D6qnli1ZbZQ"
"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei","Robert Schumann","0.954","https://www.youtube.com/watch?v=_RmuTuVWXy4"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso","Sir Simon Rattle","0.954","https://www.youtube.com/watch?v=rvfTaxEAQPc"
